Spot Price,Strike Price,Volatility,Interest Rate,Time to Maturity (Days),Option Type,Expiry Date
1.2379096726111842,1.167167544652948,0.07753687185129216,0.04799672143180211,28,Put,2025-05-16
1.1732374470709404,1.2649144222285147,0.22298451230320604,0.01424183350022214,104,Call,2025-07-31
1.246410934024431,1.1741569189646577,0.2062287088141938,0.011801159123603834,210,Put,2025-11-14
1.183516204014643,1.1613612524875612,0.13652005449816454,0.048249165270891306,209,Call,2025-11-13
1.0988882045228197,1.1787628923832036,0.1632699602242439,0.022583773599055248,243,Call,2025-12-17
1.2392193292302736,1.122357924468594,0.23202939144505955,0.01476041139426438,78,Put,2025-07-05
1.0525497987510388,1.2628789387659503,0.23898255414908207,0.019894687875753454,114,Call,2025-08-10
1.1330268261420624,1.1987408418139174,0.062206306461489724,0.04513075919603876,10,Call,2025-04-28
1.0825706162278743,1.2961970288013058,0.23767573429915068,0.038594702838853634,255,Put,2025-12-29
1.1850540143032338,1.193952683396354,0.1620765650887298,0.04329013546830068,244,Put,2025-12-18
1.0637892583265594,1.1934116041145102,0.057926312740963694,0.04016625428599717,183,Put,2025-10-18
1.0500285176069561,1.225347153622876,0.17341777544985082,0.04308130953837117,139,Call,2025-09-04
1.1543342218349006,1.1137777221198863,0.08274056451310191,0.03746266104567144,150,Put,2025-09-15
1.166884218179905,1.2944579721138982,0.2236758652121765,0.019918401147308053,139,Put,2025-09-04
1.0681883922161342,1.1890334543308012,0.14723467404919943,0.01419874607404228,199,Put,2025-11-03
1.067153182207112,1.2940542347666133,0.11841807037593087,0.04739857952579966,288,Put,2026-01-31
1.2195040912548734,1.2990418158235664,0.23804040052222653,0.040072969534365184,315,Put,2026-02-27
1.1207259142155421,1.116489239071858,0.15273520667283855,0.01359872853159107,338,Call,2026-03-22
1.1133356334906528,1.1189914887293984,0.19296562078173843,0.02212720685602139,320,Put,2026-03-04
1.1885023858935284,1.1524924138543062,0.09964300233767463,0.025329963221450452,288,Call,2026-01-31
1.2457829257481423,1.1164839669384818,0.1608242131512048,0.03314602865840311,151,Put,2025-09-16
1.2449996839927602,1.0820290887241388,0.2197398340305003,0.04839059301558227,246,Call,2025-12-20
1.2485976884616277,1.2110469129647714,0.10466927615743533,0.009688471523089754,188,Put,2025-10-23
1.2088476052742345,1.0524407389379133,0.15069173748764386,0.0466522649072411,51,Put,2025-06-08
1.152287828420681,1.0682673472023165,0.1854885946537061,0.03194168991646364,288,Put,2026-01-31
1.180689839842263,1.2843480422933042,0.10487621212920101,0.023572488438875494,321,Call,2026-03-05
1.2108314800460775,1.0630643813405432,0.13377900968531417,0.04905552592910068,324,Call,2026-03-08
1.1888983022753916,1.1958632193034118,0.16589993523127944,0.04123406401034932,355,Call,2026-04-08
1.1710614376310813,1.0903866986743678,0.12357819928444587,0.01776820329501911,89,Put,2025-07-16
1.2134036260302352,1.1174649118887547,0.228181914997603,0.04337045817763496,113,Call,2025-08-09
1.1367730681547086,1.2122411348423578,0.178654153912978,0.016128099901826665,300,Call,2026-02-12
1.1146050092173383,1.0520278569050885,0.2066963918756662,0.04203291001375085,307,Call,2026-02-19
1.082699060033959,1.1313522899365265,0.12115178825801792,0.04716054541796451,176,Call,2025-10-11
1.0829766237278384,1.1911475483840623,0.0913763636257984,0.04943041881181651,36,Call,2025-05-24
1.1556545130807787,1.0515920451886158,0.19571575237854427,0.04893856721989845,136,Put,2025-09-01
1.2151537542104713,1.1000802766835611,0.1469806623100854,0.026021555828465076,80,Call,2025-07-07
1.2456870481433118,1.1283802196879047,0.15449995181125395,0.0157545469341775,328,Put,2026-03-12
1.148792250372368,1.220966239170479,0.0882492443237096,0.0484198400515644,269,Call,2026-01-12
1.239825983774365,1.1295664986865608,0.17308856753895194,0.030681918726477405,92,Put,2025-07-19
1.1440565342664843,1.2636306403223103,0.0786431142238173,0.011085004855072007,164,Call,2025-09-29
1.120888059747527,1.2538972393999472,0.14897713974858803,0.002822424336561508,137,Put,2025-09-02
1.0742753162611482,1.15550985941799,0.17474841728392293,0.0064749055070629615,140,Call,2025-09-05
1.2090924806621126,1.246821727044618,0.0822684804490011,0.017016313548727104,175,Call,2025-10-10
1.2406016601971075,1.1523553069244077,0.10997284400742045,0.0017323001612737866,295,Put,2026-02-07
1.1289667119138977,1.2534065948426596,0.21538467047103765,0.049168945909307524,363,Put,2026-04-16
1.1252356366278353,1.1359258587855992,0.09999176353503521,0.040065062237287064,123,Call,2025-08-19
1.0811148224460387,1.2793459455312965,0.0795448100295727,0.022945868087151256,138,Put,2025-09-03
1.0872087471619853,1.2710715076684864,0.14155222560289987,0.008911583570348935,357,Call,2026-04-10
